id,llmsim_pre_correct,llmsim_post_correct,llmsim_n,llmsim_kgain,rouge1,rouge2,rougeL,bleu,bertscore,llm_judge_accuracy,llm_judge_completeness,llm_judge_relevance,llm_judge_clarity,llm_judge_expected_kgain,llm_judge_mean_score
29733,0.2,0.5555555555555556,90,0.35555555555555557,0.5077844311377245,0.3001200480192077,0.318562874251497,0.18202021621801362,0.8655027747154236,4,4,4,4,5,4.2
29734,0.2,0.6,90,0.39999999999999997,0.45692883895131087,0.23684210526315788,0.2883895131086142,0.11566718567188543,0.8743504881858826,3,4,4,4,5,4.0
29739,0.4,0.6444444444444445,90,0.24444444444444446,0.5476603119584056,0.24695652173913046,0.3119584055459272,0.16719946212314585,0.9009204506874084,4,4,5,5,5,4.6
29753,0.12222222222222222,0.3333333333333333,90,0.21111111111111108,0.6402714932126697,0.35600907029478457,0.3574660633484163,0.29195453130698445,0.898358166217804,5,4,4,5,5,4.6
29775,0.37777777777777777,0.5888888888888889,90,0.21111111111111114,0.46105919003115264,0.1375,0.22118380062305296,0.06401381948670172,0.8726222515106201,4,4,4,4,5,4.2
29802,0.24444444444444444,0.5555555555555556,90,0.3111111111111111,0.5729349736379614,0.3315696649029982,0.36203866432337434,0.20830619326059796,0.9056164026260376,4,4,4,4,5,4.2
29846,0.4222222222222222,0.6,90,0.17777777777777776,0.35840707964601776,0.16444444444444448,0.17699115044247787,0.08035761888232665,0.8835030794143677,3,4,4,3,5,3.8
29866,0.23333333333333334,0.5,90,0.26666666666666666,0.578005115089514,0.25384615384615383,0.2915601023017903,0.16973303892003888,0.8676479458808899,4,3,4,4,5,4.0
29873,0.28888888888888886,0.5111111111111111,90,0.2222222222222222,0.6535626535626534,0.3842364532019704,0.43243243243243246,0.2430789443921345,0.9113048911094666,3,4,4,4,5,4.0
29902,0.14444444444444443,0.4888888888888889,90,0.34444444444444444,0.5391304347826088,0.29069767441860467,0.417391304347826,0.15659530755287054,0.8799791932106018,4,4,4,4,5,4.2
29929,0.1,0.45555555555555555,90,0.3555555555555555,0.5212765957446809,0.3380782918149466,0.4078014184397163,0.2044589476339396,0.8883575797080994,4,3,4,4,5,4.0
29943,0.18888888888888888,0.5,90,0.3111111111111111,0.5528700906344411,0.26969696969696966,0.3806646525679758,0.1849884957335544,0.8816045522689819,4,4,4,4,5,4.2
29958,0.3,0.5666666666666667,90,0.26666666666666666,0.3069977426636569,0.19501133786848074,0.1896162528216704,0.08366861690753291,0.8820220232009888,3,4,4,4,4,3.8
29988,0.2777777777777778,0.5,90,0.2222222222222222,0.5008517887563884,0.3418803418803419,0.3679727427597956,0.1994925668363017,0.8941876292228699,4,4,4,4,5,4.2
30052,0.022222222222222223,0.5777777777777777,90,0.5555555555555555,0.42185128983308046,0.22222222222222224,0.2792109256449165,0.13567195932906803,0.8695386648178101,4,4,4,4,5,4.2
30061,0.2222222222222222,0.5333333333333333,90,0.3111111111111111,0.49469964664310956,0.2198581560283688,0.26148409893992935,0.09504698064209383,0.8832572102546692,3,3,4,4,5,3.8
30086,0.2,0.5555555555555556,90,0.35555555555555557,0.42244224422442245,0.2119205298013245,0.21782178217821782,0.0833794386308461,0.8756646513938904,3,4,4,4,5,4.0
30184,0.43333333333333335,0.5444444444444444,90,0.11111111111111105,0.4972375690607734,0.29574861367837335,0.28729281767955805,0.15649232877789898,0.9024028182029724,3,4,4,4,5,4.0
30214,0.23333333333333334,0.6333333333333333,90,0.39999999999999997,0.6596066565809381,0.44613050075872535,0.5506807866868382,0.3315699112734749,0.9202844500541687,5,5,5,5,5,5.0
30708,0.28888888888888886,0.4666666666666667,90,0.1777777777777778,0.4122383252818036,0.2067851373182553,0.2351046698872786,0.09875336900604163,0.8730655312538147,4,4,4,4,5,4.2
